Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,Waters,280.39,280.87,275.4,+4.06,+1.47%,264.14K,24/11,
,Celldex Therapeutics,28.67,29.0,27.62,+0.92,+3.32%,262.78K,24/11,
,ACI Worldwide,26.22,26.22,24.76,+0.42,+1.63%,262.55K,24/11,
,ExlServices,28.25,28.35,28.09,+0.09,+0.32%,260.90K,24/11,
,Rambus,67.48,68.13,67.3,-0.03,-0.04%,260.09K,24/11,
,Cal-Maine,47.92,47.92,47.12,+0.60,+1.27%,256.99K,24/11,
,Asure,8.08,8.145,7.898,+0.185,+2.34%,256.63K,24/11,
,ITT,109.51,109.76,108.52,+0.71,+0.65%,255.82K,24/11,
,8x8,2.92,2.95,2.89,0.00,0.00%,255.40K,24/11,
,Aon,330.02,331.37,327.66,+1.04,+0.32%,250.47K,24/11,
,Halozyme,40.38,40.9,40.11,+0.27,+0.67%,247.06K,24/11,
,Standard Biotools,2.44,2.475,2.31,+0.070,+2.95%,245.67K,24/11,
,Lazard,27.57,27.79,27.14,+0.25,+0.92%,242.95K,24/11,
,Charter Communications,405.92,407.46,405.22,+0.64,+0.16%,242.74K,24/11,
,MBIA,7.35,7.49,7.27,+0.03,+0.41%,242.12K,24/11,
,Commerce Bancshares,50.45,50.49,49.82,+0.64,+1.28%,241.43K,24/11,
,Veru,1.01,1.02,0.96,+0.034,+3.44%,240.52K,24/11,
,Ionis Pharma,49.83,50.39,49.53,+0.25,+0.50%,240.00K,24/11,
,Athersys,0.02,0.02,0.018,0.0000,0.00%,238.31K,24/11,
,CalAmp,0.37,0.38,0.33,+0.01,+3.93%,235.48K,24/11,
,Axcelis,128.36,129.45,126.7,+0.23,+0.18%,235.40K,24/11,
,Azenta,57.66,58.16,56.86,+0.31,+0.54%,231.08K,24/11,
,JB Hunt,183.05,183.4,180.89,+1.91,+1.05%,230.89K,24/11,
,Henry Schein,69.67,69.8,69.05,+0.27,+0.39%,227.25K,24/11,
,NewYork Times,45.46,45.76,45.37,-0.10,-0.22%,222.97K,24/11,
,Pitney Bowes,3.94,4.0,3.91,0.000,0.00%,221.83K,24/11,
,Parker-Hannifin,433.67,435.17,430.05,+2.44,+0.57%,221.69K,24/11,
,Cirrus,76.24,77.34,75.54,+0.39,+0.51%,220.10K,24/11,
,Durect,0.66,0.66,0.6269,+0.0100,+1.54%,219.27K,24/11,
,VeriSign,213.23,215.2,212.85,-0.93,-0.43%,218.69K,24/11,
,Laboratory America,212.72,212.8,210.61,+1.12,+0.53%,215.86K,24/11,
,Toyota Motor ADR,188.3,188.5,187.17,+4.07,+2.21%,213.81K,24/11,
,Ashland Global,79.27,79.69,78.02,+1.20,+1.54%,212.38K,24/11,
,Weatherford,93.56,94.52,92.69,+1.03,+1.11%,212.32K,24/11,
,Terex,49.94,50.33,49.48,+0.39,+0.79%,211.33K,24/11,
,Ameriprise Financial,351.42,353.48,348.62,+0.90,+0.26%,211.29K,24/11,
,McKesson,461.37,462.27,458.34,+3.92,+0.86%,211.25K,24/11,
,Denny’s,9.68,9.79,9.6,-0.06,-0.62%,209.39K,24/11,
,Alpine Immune Sciences,14.54,14.68,13.87,+0.770,+5.59%,209.26K,24/11,
,Healthcare Services,10.01,10.13,9.87,+0.07,+0.70%,208.88K,24/11,
,Robert Half,81.26,81.83,81.22,-0.27,-0.33%,208.31K,24/11,
,Great Lakes Dredge&Dock,6.89,6.91,6.56,+0.32,+4.87%,205.88K,24/11,
,Globe Life,121.34,122.12,120.3,+0.97,+0.81%,205.08K,24/11,
,M&T Bank,125.62,126.06,124.34,+0.55,+0.44%,201.98K,24/11,
,Liveramp,33.5,33.99,33.44,-0.62,-1.82%,201.92K,24/11,
,Oshkosh,97.35,98.23,96.31,+1.06,+1.10%,200.61K,24/11,
,First Interstate BancSystem,25.43,25.45,25.06,+0.17,+0.67%,195.29K,24/11,
,Garmin,121.05,121.26,120.39,+0.68,+0.56%,193.17K,24/11,
,Northrop Grumman,471.52,473.61,470.34,+1.94,+0.41%,191.23K,24/11,
,Patterson,32.55,32.58,32.32,+0.24,+0.74%,189.59K,24/11,
,Teradata,47.27,47.31,46.9,+0.11,+0.23%,186.15K,24/11,
,QuickLogic,12.97,13.31,11.5,+1.200,+10.20%,183.53K,24/11,
,Axos Financial,38.35,39.15,38.32,-0.62,-1.59%,183.27K,24/11,
,Hope Bancorp,9.77,9.91,9.76,-0.07,-0.71%,181.99K,24/11,
,Federated Investors B,31.61,31.78,31.56,+0.02,+0.06%,179.78K,24/11,
,Cincinnati Financial,102.68,102.69,101.88,+0.64,+0.63%,178.25K,24/11,
,Arch Resources,163.62,166.93,161.17,+3.02,+1.88%,178.03K,24/11,
,Perdoceo Education,17.53,17.77,17.42,+0.17,+0.98%,176.72K,24/11,
,Overseas Shipholding,5.1,5.17,5.04,+0.090,+1.80%,173.54K,24/11,
,Charles&Colvard,0.4638,0.465,0.4281,+0.0289,+6.64%,172.61K,24/11,
,American Superconductor,9.36,9.39,8.82,+0.38,+4.23%,171.57K,24/11,
,Corcept,25.33,25.6,25.24,-0.01,-0.04%,171.45K,24/11,
,First Financial Bankshares,26.46,26.65,26.36,-0.15,-0.56%,169.80K,24/11,
,AtriCure,42.08,42.79,41.01,+0.28,+0.67%,166.70K,24/11,
,East West Bancorp,61.03,61.46,60.89,+0.05,+0.08%,166.58K,24/11,
,Vulcan Materials,211.68,212.48,210.72,-0.22,-0.10%,166.06K,24/11,
,Destination XL Group,4.01,4.025,3.973,0.000,0.00%,165.83K,24/11,
,Accuray,2.78,2.825,2.72,+0.030,+1.09%,164.72K,24/11,
,Adtalem Education,57.48,57.5,56.77,+0.44,+0.77%,164.52K,24/11,
,ANSYS,297.9,298.14,293.72,-0.62,-0.21%,162.89K,24/11,
,Gladstone Commercial,12.66,12.68,12.36,+0.28,+2.30%,162.47K,24/11,
,Camtek,64.19,65.14,63.38,+0.48,+0.75%,161.74K,24/11,
,Assurant,165.8,165.8,163.24,+2.58,+1.58%,158.77K,24/11,
,Enzon,0.1199,0.12,0.1135,+0.0056,+4.95%,158.23K,24/11,
,AutoNation,135.05,135.38,132.75,+1.65,+1.24%,157.14K,24/11,
,Codexis,2.03,2.05,1.92,+0.07,+3.57%,156.76K,24/11,
,Columbia Sportswear,75.43,75.47,74.55,+0.54,+0.72%,153.60K,24/11,
,BioLineRx,1.49,1.545,1.49,-0.030,-1.97%,153.21K,24/11,
,Sandridge Energy,14.51,14.64,14.36,+0.090,+0.62%,150.06K,24/11,
,Allegiant,69.63,69.79,67.31,+1.82,+2.68%,149.75K,24/11,
,Sprott Physical Gold and Silver Trust,18.82,18.82,18.74,+0.27,+1.46%,148.51K,24/11,
,Big 5,5.73,5.79,5.58,+0.11,+1.96%,144.65K,24/11,
,Amedisys,93.75,94.0,93.75,-0.14,-0.15%,144.50K,24/11,
,Alnylam,162.92,166.23,162.27,+0.04,+0.02%,142.98K,24/11,
,Energy Recovery,19.5,19.65,19.3,+0.13,+0.67%,141.99K,24/11,
,BJs Restaurants,30.64,31.31,30.37,-0.13,-0.42%,141.67K,24/11,
,G-III Apparel,28.27,28.39,27.55,+0.63,+2.28%,139.74K,24/11,
,Snap-On,275.14,276.37,274.6,+0.47,+0.17%,138.56K,24/11,
,Hancock Whitney,40.83,40.87,40.17,+0.34,+0.84%,137.36K,24/11,
,Cohu,32.67,32.88,32.2,-0.01,-0.03%,135.74K,24/11,
,Eagle Bulk Shipping,44.22,44.8,42.99,+1.35,+3.15%,134.99K,24/11,
,Rogers Communications,43.4,43.41,42.93,+0.54,+1.26%,134.16K,24/11,
,Ryder System,107.55,107.81,106.5,+1.20,+1.13%,133.05K,24/11,
,Capital Southwest,22.6,22.61,22.42,+0.18,+0.80%,132.16K,24/11,
,Avery Dennison,189.74,190.4,188.82,-0.06,-0.03%,132.02K,24/11,
,Acadia Healthcare,73.57,73.75,72.6,+0.59,+0.81%,130.65K,24/11,
,Cogent,66.3,66.58,65.63,+0.36,+0.55%,130.61K,24/11,
,Beacon Roofing,83.09,83.48,81.84,+0.58,+0.70%,130.59K,24/11,
,Middleby Corp,125.24,125.52,123.4,+1.42,+1.15%,129.49K,24/11,
,Cross Country,20.9,21.31,20.71,+0.03,+0.14%,128.48K,24/11,
,Glacier,32.88,32.98,32.39,+0.35,+1.08%,126.45K,24/11,
,Hudson,12.87,12.954,12.629,+0.190,+1.50%,124.47K,24/11,
,Delcath Systems,2.99,3.02,2.86,+0.10,+3.46%,123.35K,24/11,
,Inotiv,2.84,2.84,2.35,+0.51,+21.89%,123.00K,24/11,
,Clarus,5.37,5.44,5.22,+0.14,+2.78%,122.50K,24/11,
,Stericycle,45.39,45.41,44.87,+0.07,+0.15%,121.77K,24/11,
,AngioDynamics,6.98,7.01,6.82,+0.13,+1.90%,120.60K,24/11,
,GTX Inc,0.3704,0.375,0.331,+0.0405,+12.28%,120.31K,24/11,
,Avadel Pharma,11.46,11.79,11.44,+0.030,+0.26%,119.39K,24/11,
,1-800 FLOWERS.COM,8.8,8.84,8.59,+0.16,+1.85%,118.94K,24/11,
,ASGN,90.94,91.48,90.18,+0.48,+0.53%,118.48K,24/11,
,Titan,13.41,13.44,13.14,+0.290,+2.21%,117.21K,24/11,
,Green Brick Partners Inc,47.69,47.89,47.26,-0.05,-0.10%,117.05K,24/11,
,Booking,3115.59,3137.17,3106.75,-14.41,-0.46%,115.88K,24/11,
,Ribbon Com,2.12,2.13,2.05,+0.050,+2.42%,115.48K,24/11,
,Royal Gold,117.19,117.74,116.41,+0.97,+0.83%,114.98K,24/11,
,Radware,15.38,15.61,15.05,+0.26,+1.72%,113.78K,24/11,
,Cintas,554.9,556.06,548.5,+0.08,+0.01%,112.22K,24/11,
,AeroVironment,133.37,134.34,131.2,+2.67,+2.04%,110.40K,24/11,
,Revvity,90.06,90.06,88.79,+0.58,+0.65%,109.65K,24/11,
,ADES,2.86,2.89,2.755,+0.150,+5.54%,107.64K,24/11,
,The Chefs Warehouse,26.97,27.35,26.45,+0.39,+1.47%,106.91K,24/11,
,Churchill Downs,120.72,121.14,120.11,+0.37,+0.31%,104.70K,24/11,
,DRDGOLD ADR,8.68,8.74,8.5,+0.10,+1.17%,104.13K,24/11,
,EZCORP,8.24,8.33,8.22,-0.040,-0.48%,103.98K,24/11,
,CEVA,22.46,22.65,22.1,+0.11,+0.49%,103.97K,24/11,
,Star Equity Holdings,1.06,1.09,1.0,+0.035,+3.41%,103.78K,24/11,
,Caseys,282.13,285.17,281.44,-2.47,-0.87%,103.21K,24/11,
,Advanced Energy,96.42,96.8,95.68,-0.08,-0.08%,103.20K,24/11,
,Acacia Research,3.72,3.78,3.72,-0.020,-0.53%,101.70K,24/11,
,Axon Enterprise,228.42,228.72,227.14,+1.55,+0.68%,101.57K,24/11,
,Color Star Technology Co,0.3076,0.325,0.2951,-0.0014,-0.45%,101.41K,24/11,
,Clearfield,26.56,27.05,26.45,-0.50,-1.85%,100.75K,24/11,
,O’Reilly Automotive,987.16,992.6,984.76,-4.30,-0.43%,97.61K,24/11,
,Alliance Resource,21.85,22.14,21.789,-0.040,-0.18%,95.73K,24/11,
,ODP,48.01,48.78,47.93,-0.60,-1.23%,95.64K,24/11,
,EW Scripps A,7.63,7.7,7.51,+0.06,+0.79%,94.80K,24/11,
,Casella,79.87,80.1,79.5,+0.33,+0.41%,94.01K,24/11,
,CONMED,108.91,109.98,107.68,+1.02,+0.95%,92.16K,24/11,
,Eltek,14.18,14.229,12.664,+1.520,+12.01%,91.19K,24/11,
,AAON,63.83,64.25,63.36,+0.29,+0.46%,89.27K,24/11,
,Euronet,87.39,87.96,86.92,-0.12,-0.14%,88.76K,24/11,
,EMCORE,0.3999,0.4024,0.3896,+0.0124,+3.20%,88.71K,24/11,
,Lamar,98.5,98.5,97.79,+0.26,+0.26%,88.42K,24/11,
,WW Grainger,812.3,813.86,806.55,+3.32,+0.41%,87.99K,24/11,
,Equinix,795.0,795.0,788.55,+0.65,+0.08%,87.77K,24/11,
,Shyft Group Inc,11.3,11.54,11.14,+0.11,+0.98%,87.45K,24/11,
,Compugen,0.64,0.678,0.63,-0.009,-1.31%,87.44K,24/11,
,CSG Systems,51.17,51.45,51.11,-0.19,-0.37%,87.25K,24/11,
,M/I Homes,105.58,105.96,104.08,+0.88,+0.84%,86.51K,24/11,
,CECO Environmental,19.92,20.118,19.757,+0.010,+0.05%,84.91K,24/11,
,Endo Int,0.0031,0.0031,0.0021,-0.0019,-38.00%,84.70K,24/11,
,First Financial Bancorp,20.38,20.53,20.3,-0.02,-0.10%,84.27K,24/11,
,Reliance Steel&Aluminum,268.0,268.51,266.75,+0.19,+0.07%,81.30K,24/11,
,Dr. Reddy’s Labs ADR,68.23,68.47,67.67,+0.57,+0.84%,80.88K,24/11,
,Educational Development,0.9,0.9,0.83,+0.06,+6.53%,80.81K,24/11,
,FirstCash,112.2,112.46,111.52,+0.78,+0.70%,80.56K,24/11,
,Taoping,1.51,1.54,1.475,+0.020,+1.34%,76.86K,24/11,
,American Software,9.7,9.81,9.56,-0.02,-0.21%,76.81K,24/11,
,Ameris,42.59,43.09,42.25,0.00,0.00%,74.66K,24/11,
,aTyr Pharma,1.21,1.21,1.17,+0.040,+3.42%,74.29K,24/11,
,Ceragon,1.81,1.83,1.75,+0.030,+1.69%,73.73K,24/11,
,Comtech,12.37,12.48,12.16,+0.22,+1.81%,72.40K,24/11,
,The Ensign,109.6,109.68,108.33,+1.07,+0.99%,72.05K,24/11,
,AcelRx,0.6899,0.6946,0.6103,+0.0500,+7.81%,71.74K,24/11,
,Nabors Industries,93.2,95.37,92.56,+0.64,+0.69%,70.80K,24/11,
,Diodes,68.71,69.02,68.28,+0.05,+0.07%,70.65K,24/11,
,Manitowoc,14.67,14.77,14.42,+0.22,+1.52%,70.41K,24/11,
,Sharing Economy,0.0009,0.0009,0.0001,+0.0008,+800.00%,69.70K,24/11,
,Cohen Steers,56.6,57.25,56.57,-0.05,-0.09%,69.59K,24/11,
,ArcBest Corp,121.65,123.57,121.39,-0.59,-0.48%,69.14K,24/11,
,Colliers International,108.38,109.0,107.2,+0.74,+0.69%,68.89K,24/11,
,Plus Therapeutics,1.63,1.8,1.63,-0.200,-10.93%,68.31K,24/11,
,Chipotle Mexican Grill,2219.67,2225.0,2204.0,+0.74,+0.03%,67.35K,24/11,
,Cathay,36.65,36.96,36.5,-0.03,-0.08%,65.68K,24/11,
,Forward Air,65.01,65.14,64.21,+0.29,+0.45%,64.89K,24/11,
,Sohu.Com,8.65,8.76,8.33,+0.33,+3.97%,64.73K,24/11,
,Enerpac Tool Group,27.95,28.04,27.84,+0.10,+0.36%,64.60K,24/11,
,Aviat,30.55,30.73,30.13,+0.16,+0.53%,64.17K,24/11,
,Exponent,77.58,78.29,77.0,-0.78,-1.00%,63.64K,24/11,
,Itron,66.55,66.58,66.03,+0.10,+0.15%,63.60K,24/11,
,Vericel Corp Ord,35.66,35.83,35.28,+0.17,+0.48%,63.59K,24/11,
,Central Garden&Pet A,36.11,36.3,35.71,+0.24,+0.67%,63.23K,24/11,
,Coca-Cola Femsa ADR,85.91,86.77,84.85,+0.51,+0.60%,62.97K,24/11,
,Gentherm,46.51,47.54,46.42,-0.12,-0.26%,62.94K,24/11,
,Cyclacel,0.3091,0.3095,0.27,+0.0294,+10.51%,62.30K,24/11,
,Computer Programs&Systems,11.08,11.34,10.98,+0.08,+0.73%,61.14K,24/11,
,Astronics,15.47,15.61,15.28,+0.08,+0.52%,61.10K,24/11,
,AMERISAFE,51.63,52.14,51.55,+0.20,+0.39%,58.98K,24/11,
,Eagle,23.72,24.05,23.58,-0.11,-0.46%,58.77K,24/11,
,Carver,2.26,2.32,1.95,+0.22,+10.78%,58.35K,24/11,
,IPG Photonics,95.31,95.91,95.01,-0.31,-0.32%,56.93K,24/11,
,Blackbaud,75.63,75.91,75.1,+0.10,+0.13%,56.89K,24/11,
,Harvard Bioscience,4.66,4.71,4.37,+0.310,+7.13%,55.98K,24/11,
,The Andersons,51.16,52.32,51.03,-0.65,-1.25%,55.20K,24/11,
,Cadiz,2.99,3.07,2.99,+0.01,+0.34%,54.85K,24/11,
,Nippon ADR,28.93,29.82,28.77,-0.18,-0.62%,53.07K,24/11,
,Motorcar Parts,9.95,10.12,9.76,+0.07,+0.71%,52.00K,24/11,
,Commercial Vehicle,6.36,6.41,6.3,+0.03,+0.47%,51.86K,24/11,
,Anika,21.22,21.22,20.55,+0.64,+3.11%,51.60K,24/11,
,Pathward Financial,49.71,49.79,49.25,+0.07,+0.14%,51.26K,24/11,
,EDAP,5.03,5.06,4.68,+0.230,+4.79%,51.22K,24/11,
,Berkshire Hills Bancorp,21.12,21.28,20.87,+0.07,+0.33%,50.55K,24/11,
,First Merchants,31.04,31.13,30.76,+0.11,+0.36%,49.50K,24/11,
,FARO,18.29,18.29,17.99,+0.02,+0.11%,49.13K,24/11,
,Franklin Electric,89.75,89.98,89.24,+0.31,+0.35%,48.48K,24/11,
,Digi,24.5,24.74,24.4,-0.09,-0.37%,47.83K,24/11,
,Broadwind,2.22,2.24,2.16,+0.030,+1.37%,47.78K,24/11,
,Calavo Growers,24.32,24.47,23.92,+0.28,+1.16%,47.73K,24/11,
,Dillards,348.57,349.48,342.3,+8.59,+2.53%,47.09K,24/11,
,Calumet,16.98,17.81,16.81,-0.680,-3.85%,45.41K,24/11,
,Dmc Global,16.24,16.49,16.15,+0.13,+0.81%,45.10K,24/11,
,AudioCodes,10.94,10.97,10.82,+0.04,+0.37%,43.57K,24/11,
,Yellow,1.97,2.125,1.97,+0.020,+1.03%,43.51K,24/11,
,BankFinancial,8.95,9.04,8.83,+0.05,+0.56%,43.38K,24/11,
,HCI Group Inc,87.41,87.9,85.92,+1.71,+2.00%,43.37K,24/11,
,Alimera,3.48,3.69,3.328,-0.020,-0.57%,43.30K,24/11,
,BOK Financial,71.39,72.43,70.75,-0.11,-0.15%,42.89K,24/11,
,Erie Indemnity,292.79,294.77,287.47,+3.84,+1.33%,42.35K,24/11,
,Novanta,144.41,145.67,143.26,+0.13,+0.09%,42.33K,24/11,
,Consolidated Water,36.08,36.36,35.66,+0.27,+0.75%,41.71K,24/11,
,Oi ADR Pref,0.0012,0.0012,0.0006,+0.0000,+0.00%,40.78K,21/11,
,Dorman,72.95,73.92,72.37,+0.23,+0.32%,40.49K,24/11,
,BIOLASE,1.24,1.27,1.2,+0.0200,+1.64%,40.48K,24/11,
,First Busey,21.09,21.35,21.06,-0.05,-0.24%,40.03K,24/11,
,Alpha & Omega Semiconductor,22.2,22.26,21.81,+0.21,+0.95%,38.84K,24/11,
,AutoZone,2688.0,2690.0,2666.84,+16.23,+0.61%,37.50K,24/11,
,First Citizens BancShares,1435.4,1445.27,1425.85,+16.02,+1.13%,37.47K,24/11,
,Conns,3.35,3.39,3.17,+0.14,+4.36%,36.58K,24/11,
,Forrester,25.47,25.68,24.86,+0.32,+1.27%,36.38K,24/11,
,Premier Financial,20.24,20.25,20.0,+0.25,+1.25%,35.70K,24/11,
,Janone,0.39,0.41,0.371,-0.009,-2.26%,35.34K,24/11,
,ATN Int,31.31,31.58,30.88,+0.28,+0.90%,35.21K,24/11,
,eHealth,7.7,7.87,7.7,-0.02,-0.26%,34.88K,24/11,
,ClearOne,0.809,0.811,0.78,+0.038,+4.93%,34.84K,24/11,
,Barrett,107.3,108.33,106.57,-0.57,-0.53%,34.81K,24/11,
,Hanmi,16.51,16.65,16.4,-0.04,-0.24%,34.26K,24/11,
,Horizon Bancorp,11.15,11.22,11.05,+0.06,+0.54%,34.25K,24/11,
,Astec,32.08,32.31,31.99,+0.31,+0.98%,34.19K,24/11,
,Agilysys,87.9,88.78,87.14,-0.26,-0.29%,34.17K,24/11,
,Fonar,19.5,19.75,19.14,+0.46,+2.42%,33.79K,24/11,
,First Bancorp,31.41,31.5,31.07,+0.17,+0.54%,33.43K,24/11,
,Central Garden&Pet,39.96,40.16,39.47,+0.40,+1.01%,33.05K,24/11,
,National Beverage,48.64,48.89,48.34,-0.23,-0.47%,32.59K,24/11,
,Curis,8.44,9.01,8.01,+0.0600,+0.72%,32.24K,24/11,
,Digimarc,32.72,33.15,32.17,+0.25,+0.77%,31.71K,24/11,
,Capital Product,14.32,14.32,14.12,+0.12,+0.85%,31.28K,24/11,
,Descartes Systems,81.53,81.74,80.88,+0.49,+0.60%,30.96K,24/11,
