Unnamed: 0,Name,Average Vol. (3m),Market Cap,Revenue,P/E Ratio,Beta
,1-800 FLOWERS.COM,475.13K,571.1M,1.98B,-13.38,1.64
,3D Systems,2.67M,717.88M,505.95M,-6.99,1.72
,3M,3.65M,52.99B,32.75B,-7.16,0.98
,8x8,2.23M,356.72M,737.22M,-5.90,1.32
,AAON,382.59K,5.19B,1.12B,30.43,0.833
,Abbott Labs,5.60M,178.59B,39.96B,35.03,0.68
,Abercrombie&Fitch,1.64M,3.69B,4.03B,18.74,1.43
,Acacia Research,233.74K,371.58M,45.91M,-6.28,0.44
,ACADIA,1.55M,3.66B,631.89M,-24.28,0.619
,Acadia Healthcare,519.15K,6.78B,2.86B,-363.32,
,Accenture,1.87M,209.65B,64.11B,30.62,1.22
,Accuray,385.73K,269.86M,455.00M,-39.15,1.61
,AcelRx,207.96K,11.7M,370.00K,-0.37,0.438
,ACI Worldwide,867.56K,2.85B,1.43B,31.96,1.07
,ACNB,11.17K,334.86M,113.47M,8.70,0.429
,Acorda,7.01K,12.14M,111.12M,-0.79,1.42
,Acorn,1.99K,18.5M,7.65M,-447.06,0.796
,Acura Pharma,2.63K,66,,,
,Addus,70.78K,1.42B,1.03B,24.68,0.853
,ADDvantage,8.76K,4.22M,56.70M,-0.47,0.561
,ADES,64.19K,94.9M,79.58M,-2.25,
,Adobe,2.66M,282.03B,18.89B,55.49,1.34
,ADP,1.52M,94.87B,18.31B,27.23,
,Adtalem Education,411.89K,2.29B,1.47B,24.33,1.02
,ADTRAN,845.89K,425.76M,1.28B,-4.18,1.36
,Advanced Energy,279.99K,3.59B,1.74B,26.86,1.59
,Aehr Test Systems,1.09M,715.95M,74.91M,37.48,2.02
,AeroVironment,266.15K,3.48B,584.37M,-23.20,0.447
,Aeterna Zentaris,8.86K,10.9M,6.86M,-0.47,2.04
,Aflac,2.31M,48.47B,19.23B,11.51,0.893
,Agenus,5.58M,263.19M,100.90M,-0.86,1.42
,Agilent Technologies,2.04M,36.99B,6.83B,29.89,1.04
,Agilysys,119.68K,2.2B,217.49M,178.35,0.923
,AGNC Invest,15.50M,5.85B,386.00M,28.19,1.28
,Agnico Eagle Mines,2.45M,24.71B,6.25B,9.46,0.88
,AIG,3.04M,45.78B,50.15B,11.59,1.05
,Air Products,925.18K,61B,12.60B,26.60,0.867
,Air T,3.74K,46.89M,286.17M,-3.95,1.04
,Airnet Tech,1.36K,5.26M,2.87M,-0.76,1.53
,Aixtron ADR,0.32K,3.8B,598.89M,23.60,0.747
,Akamai,1.62M,17.14B,3.74B,33.93,0.768
,Alcoa,5.74M,4.68B,10.62B,-5.24,2.46
,Alico,26.55K,208.68M,40.20M,-10.25,0.858
,Align,977.03K,16.81B,3.81B,46.56,1.58
,Alimera,37.17K,182.41M,68.48M,-2.31,1.43
,Alithya A,17.34K,112.92M,517.09M,-3.71,0.81
,Alkermes Plc,1.86M,4.07B,1.59B,18.76,0.623
,Allegiant,264.36K,1.25B,2.51B,7.34,1.76
,Alliance Resource,412.06K,2.78B,2.63B,3.98,1.33
,Allied Healthcare,26.22K,4.01K,27.05M,,-2.36
,Allient,46.38K,434.79M,568.71M,18.17,
,Allot Communications,119.67K,50.58M,101.84M,-1.01,1.14
,Allstate,1.64M,35.75B,55.91B,-17.10,0.525
,Alnylam,635.87K,20.45B,1.72B,-39.71,0.47
,Alpha & Omega Semiconductor,136.39K,616.82M,663.48M,-77.76,2.49
,Alphabet A,26.73M,1.72T,297.13B,26.38,1.05
,Alphatecs,1.87M,1.62B,450.24M,-7.80,1.36
,Alpine Immune Sciences,571.89K,843.34M,30.80M,-11.67,1.2
,Altria,8.47M,73.35B,20.56B,8.43,0.692
,Amazon.com,51.86M,1.52T,554.03B,74.87,1.18
,AMD,53.74M,197.59B,22.11B,949.22,1.65
,Amedisys,368.31K,3.06B,2.23B,1.16K,0.958
,Ameren,1.62M,20.29B,7.64B,17.46,0.487
,America Movil ADR,2.36M,56.04B,831.26B,11.63,0.285
,American Caresource,0.50K,1.66K,,,1.69
,American Electric Power,3.35M,41.28B,19.29B,17.86,0.496
,American Express,2.97M,119.82B,54.38B,15.41,1.21
,American National Bankshares,22.27K,447.91M,105.22M,14.90,0.987
,American Public Education,45.98K,118.97M,600.18M,-1.75,0.82
,American Software,225.18K,331.41M,121.19M,29.28,0.716
,American Superconductor,533.56K,283.78M,119.88M,-10.84,
,American Tower,2.18M,92.92B,11.06B,130.31,0.633
,American Woodmark,133.05K,1.21B,2.02B,11.01,1.85
,Americas Car-Mart,71.87K,501.11M,1.43B,45.44,1.51
,Ameriprise Financial,452.48K,35.56B,15.66B,16.82,1.45
,Ameris,336.65K,2.93B,935.46M,10.28,1.17
,AMERISAFE,78.40K,989.74M,306.57M,15.54,0.397
,AmeriServ,11.10K,51.44M,53.41M,17.43,0.649
,Ames,23.00K,167.88M,55.23M,12.66,0.532
,Amgen,2.40M,142.07B,26.83B,18.78,0.582
,Amicus,2.26M,3.11B,372.37M,-17.80,
,Amkor,1.20M,6.8B,6.66B,16.86,1.85
,Amphenol,2.42M,54.06B,12.47B,27.95,
,Amtech,24.58K,107.39M,117.92M,29.84,
,AmTrust Financial,3.37K,2.79B,,23.6,0.262
,Amyris,1.57M,3.72M,268.22M,-0.01,1.3
,Analog Devices,3.22M,90.84B,12.31B,27.71,1.17
,Andatee China Marine,22.90K,46,,-0.001,2.85
,AngioDynamics,708.78K,278.13M,335.89M,42.52,0.646
,Anika,202.65K,310.68M,163.31M,-12.37,0.698
,ANSYS,448.13K,25.88B,2.16B,53.34,
,Antelope Enterprise Holdings,23.06K,5.04M,477.35M,3.67,1.26
,Anthera Pharma,4.50K,26,,,-111.94
,Aon,739.07K,66.08B,13.13B,24.98,0.927
,APA Corp,3.72M,11.31B,8.44B,7.48,3.5
,Apartment Invest,1.23M,1.06B,180.35M,-4.66,1.54
,Apogee,158.58K,1.02B,1.43B,9.97,1.15
,Apollo Bancorp,0.18K,19.11M,8.55M,10.94,0.378
,Apple,57.32M,2.95T,383.29B,30.79,1.31
,Applied Materials,5.61M,125.76B,26.52B,18.42,1.59
,ARCA Biopharma,22.97K,28.1M,,-5.01,
,ArcBest Corp,391.56K,2.88B,4.80B,16.08,1.5
,Arch Resources,371.06K,3.01B,3.21B,3.63,0.678
,Archer-Daniels-Midland,2.86M,39.63B,96.90B,10.33,0.83
,Ark Restaurants,3.62K,56.37M,187.28M,10.86,1.09
,Arrow,54.71K,419.56M,134.33M,12.15,0.633
,Arrowhead Pharma,980.71K,3.12B,256.21M,-17.10,0.993
,Artesian,33.07K,442.74M,99.43M,27.40,0.193
,Arts-Way,8.22K,10.02M,32.80M,14.85,0.446
,Ascent Solar,1.07M,2.9M,468.14K,-0.009,1.88
,ASGN,271.56K,4.29B,4.53B,19.91,1.58
,Ashland Global,468.85K,4.06B,2.19B,23.70,0.971
,Asia Pacific Wire & Cable,2.51K,27.63M,420.01M,6.44,0.698
,ASM ADR,5.65K,24.73B,2.73B,25.25,1.35
,ASML Holding,2.47K,272.98B,26.75B,32.68,1.17
,Assertio Therapeutics,1.69M,115.5M,169.43M,-0.39,1.41
,Associated Banc-Corp,1.72M,2.63B,1.24B,7.18,1.01
,Assurant,357.11K,8.72B,10.80B,16.75,
,Astec,131.29K,729.48M,1.35B,41.47,
,Astronics,96.42K,525.6M,652.07M,-12.65,1.59
,AstroNova,6.13K,103.5M,150.20M,116.17,0.63
,Astrotech,4.01K,12.89M,1.14M,-1.28,-0.566
,Asure,319.26K,200.8M,122.11M,-25.09,0.784
,AT&T,35.77M,115.9B,121.75B,-15.28,0.708
,ATA,4.31K,29.04M,216.55M,-5.22,1.24
,Athersys,4.01M,1.23M,80.00K,-0.01,-0.591
,ATI Inc,1.05M,5.63B,4.12B,19.03,1.27
,Atlantic American,4.64K,39.27M,185.28M,14.62,0.343
,Atlanticuss,16.27K,455.07M,344.78M,5.93,1.84
,ATN Int,47.24K,474.69M,755.27M,-32.61,0.439
,AtriCure,345.67K,1.99B,380.73M,-78.45,1.39
,ATRION,5.32K,534.99M,168.60M,25.14,0.575
,aTyr Pharma,165.64K,70.86M,10.74M,-1.25,1.22
,Auburn,2.23K,71.16M,33.23M,7.25,0.591
,AudioCodes,167.29K,341.92M,251.48M,27.40,0.686
,Autodesk,1.23M,43.48B,5.35B,47.31,1.46
,Autoliv,900.35K,8.62B,10.06B,21.18,1.75
,AutoNation,507.89K,5.74B,26.88B,5.70,1.18
,AutoZone,132.26K,47.4B,17.46B,19.67,
,Avadel Pharma,573.59K,1.03B,8.51M,,
,AvalonBay,683.88K,24.59B,2.71B,26.29,0.961
,Avery Dennison,440.76K,15.28B,8.28B,31.67,0.921
,Aviat,91.29K,358.05M,352.91M,18.97,1.64
,Aware,83.85K,35.47M,17.93M,-7.21,0.464
,Axcelis,579.90K,4.2B,1.09B,18.15,1.79
,Axon Enterprise,459.87K,17.12B,1.47B,113.74,0.848
,Axos Financial,786.54K,2.21B,918.59M,6.94,1.5
,AXT,173.50K,85M,82.16M,-6.49,2.05
,Azenta,706.98K,3.24B,665.07M,-269.07,1.52
,B Communications,10.80K,428.00M,9.12B,10.71,0.54
,Baidu,2.27M,43.14B,132.72B,13.90,0.726
,Baijiayun,4.01K,182.4M,78.57M,-35.86,
,Baker Hughes,7.01M,34.1B,24.58B,20.32,1.45
,Balchem,83.00K,3.96B,926.27M,38.22,0.672
,Ball,2.07M,17.11B,14.17B,28.06,
,Ballard,2.08M,1.03B,76.69M,-6.49,1.92
,Banc of California,1.69M,711.16M,344.30M,7.06,1.25
,BancFirst,83.91K,2.83B,606.93M,12.75,1.12
,Bank of America,44.36M,235.28B,96.77B,8.29,1.39
,Bank of Marin,48.88K,304.76M,121.71M,9.36,0.779
,Bank of NY Mellon,4.74M,36.42B,17.05B,11.05,1.08
,Bank of South Carolina,7.68K,70.73M,20.68M,11.40,0.478
,BankFinancial,13.71K,112.3M,56.84M,10.59,0.402
,Banner,175.91K,1.53B,625.12M,7.79,0.992
,Barrett,30.78K,709.97M,1.06B,15.31,
,Barrick Gold,15.64M,28.39B,11.11B,489.70,0.275
,Bassett,22.54K,146.68M,416.45M,24.65,1.64
,Bath & Body Works,3.39M,6.83B,7.41B,9.29,1.83
,Bausch Health,2.80M,2.53B,8.54B,-2.62,0.981
,Baxter,5.04M,18.27B,15.28B,7.04,
,BCB Bancorp,38.63K,194.93M,108.57M,5.58,
,Beacon Roofing,367.70K,5.25B,8.79B,-83.15,1.62
,Beasley,25.25K,21.9M,253.39M,-0.21,1.2
,bebe stores,2.59K,35.79M,,-1.80,0.526
,Becton Dickinson,1.26M,68.96B,19.37B,47.89,0.569
,Bel Fuse A,4.68K,704.06M,669.01M,9.32,1.66
,Bel Fuse B,122.52K,704.06M,669.01M,9.08,1.66
,Berkshire Hathaway B,3.12M,788.7B,349.25B,10.41,0.873
,Berkshire Hills Bancorp,204.33K,905.5M,412.54M,9.03,0.944
,Best Buy,2.57M,15.13B,43.54B,11.70,1.55
,BG Medicine,7.00K,11,,,81.41
,BGC Partners,2.52M,3.03B,1.87B,153.84,1.79
,Big 5,257.48K,124.93M,926.71M,35.41,2.76
,Big Lots,1.67M,120.87M,5.01B,-0.21,2.27
,Biocept,2.13M,118.17K,1.36M,-0.01,0.719
,BioCryst,2.76M,1.13B,317.56M,-4.46,1.92
,Biogen,929.83K,33.61B,9.99B,22.83,0.096
,BIOLASE,307.43K,2.85M,49.73M,-0.03,1.34
,BioLineRx,1.16M,111.06M,,-1.81,1.14
,Biomarin Pharma,1.52M,16.61B,2.31B,112.64,0.366
,Biostar Pharma,0.42K,263,,,-3079.3
,BJs Restaurants,393.12K,711.98M,1.35B,45.94,1.96
,Blackbaud,153.12K,3.97B,1.09B,-158.84,
,BlackBerry,6.30M,2.14B,825.00M,-3.80,1.15
,BlackRock,619.01K,108.61B,17.57B,20.23,1.29
,Blackstone,6.16M,125.21B,8.24B,44.70,1.45
,Boeing,5.33M,133.09B,75.76B,-46.80,1.48
,BOK Financial,209.09K,4.69B,2.06B,7.72,1.21
,Bon-Ton Stores,5.82K,2.08K,,,-10.18
,Bonso Electronics Int,1.26K,4.42M,9.05M,-1.85,0.698
,Booking,252.06K,108.7B,20.63B,21.76,1.36
,BOS,17.53K,16.73M,43.85M,8.02,0.829
,Boston Properties,1.53M,9.43B,2.96B,43.71,1.21
,Boston Scientific,8.31M,81.5B,13.76B,67.44,0.771
,Bridgeline Digital,32.47K,8.13M,16.30M,-4.33,2.08
,Bridgford,3.36K,95.94M,253.63M,21.64,-0.519
,Bristol-Myers Squibb,12.30M,101.25B,44.94B,12.50,0.35
,Broadcom,2.28M,404.01B,35.45B,29.02,1.13
,Broadway Financial,5.14K,68.14M,32.16M,14.63,0.747
,Broadwind,154.61K,47.55M,196.94M,12.41,1.57
,Brookline Bancorp,417.13K,829.76M,328.99M,9.79,0.728
,Brown Forman,1.57M,28.92B,4.26B,38.46,0.715
,Brunswick,723.98K,5.39B,6.62B,3.49,1.5
,BSQUARE,151.89K,37.56M,31.91M,-14.17,
,Builders FirstSource,1.55M,16.62B,17.30B,11.41,2.04
,Burcon NutraScience,30.29K,12.50M,345.57K,-0.74,2.4
,C&F Financial,6.15K,203.29M,123.59M,7.16,
,Cache,1.28K,3.06K,,,1.22
,Cadence Design,1.25M,73.62B,3.92B,75.93,1.04
,Cadiz,227.04K,199.47M,1.88M,-5.10,0.724
,Cal Coast Industries,1.27K,484,,,-32.33
,Cal-Maine,824.89K,2.35B,2.95B,3.66,-0.098
,CalAmp,510.86K,14.02M,290.00M,-0.64,1.96
,Calavo Growers,147.10K,431.95M,974.34M,-114.81,0.704
,California First National,1.76K,159.82M,36.83M,6.10,0.329
,Calumet,126.93K,1.36B,4.20B,32.08,1.93
,Camden,46.58K,494.98M,169.37M,9.83,
,Cameco,5.07M,19.65B,2.27B,100.99,0.898
,Campbell Soup,2.87M,12.25B,9.36B,14.32,0.347
,Camtek,553.36K,2.87B,308.86M,35.35,1.44
,Canadian Solar Inc,1.19M,1.35B,7.88B,3.86,1.48
,Canon ADR,50.53K,24.83B,4.17T,14.11,0.383
,Canterbury Park,3.77K,90.83M,62.03M,9.20,-0.095
,Capital City Bank,28.64K,463.7M,232.61M,8.51,0.639
,Capital One Financial,2.26M,40.59B,26.34B,7.98,1.47
,Capital Product,27.40K,285.73M,344.97M,5.27,0.945
,Capital Southwest,341.67K,902.9M,153.10M,11.98,1.25
,Capitol Federal,894.91K,689.14M,-25.02M,-6.80,0.406
,Capstone Green Energy,195.30K,4.59M,74.80M,-0.21,2.14
,Cardinal Health,2.09M,26.19B,210.17B,173.50,
,CarMax,2.06M,10.18B,28.54B,22.30,
,Carter’s,682.23K,2.49B,3.00B,12.35,1.3
,Carver,34.34K,11.22M,25.89M,-1.74,1.24
,Casella,284.09K,4.63B,1.18B,120.33,0.937
,Caseys,259.21K,10.51B,14.51B,22.77,0.825
,Cass,37.00K,569.42M,209.60M,17.65,0.629
,Catalyst Pharmaceuticals,1.18M,1.5B,348.39M,23.69,
,Caterpillar,2.69M,125.93B,66.59B,13.97,1.08
,Cathay,562.76K,2.66B,793.05M,7.22,1.16
,Cavco,61.76K,2.33B,1.90B,12.51,1.18
,CBAK Energy,80.48K,74.07M,202.72M,-8.72,2.76
,CBB Bancorp,5.58K,102.7M,82.15M,3.62,0.561
,CBRE A,1.70M,23.5B,31.19B,41.44,
,CCUR Holdings,0.00K,8.98M,,,0.425
,CDTi Advanced Materials,4.23K,2.97M,,21.53,-0.201
,CECO Environmental,295.60K,693.47M,507.54M,39.84,1.21
,Celldex Therapeutics,694.93K,1.57B,4.37M,-10.87,2.06
,Cemex ADR,7.45M,10.08B,17.04B,19.09,1.12
,Cencora Inc,1.30M,40.06B,262.17B,23.29,0.536
,CenterPoint Energy,4.55M,17.63B,9.23B,22.10,0.907
,Central Garden&Pet,72.69K,1.99B,3.31B,17.00,0.671
,Central Garden&Pet A,157.98K,1.99B,3.31B,17.00,0.671
,Central Valley Community,18.41K,210.3M,89.05M,7.58,0.783
,Century Casinos,137.13K,136.32M,510.20M,-6.35,
,Ceragon,210.31K,152.75M,332.35M,-20.11,1.43
,Cerus,1.08M,301.69M,153.63M,-5.99,1.15
,CEVA,156.03K,529.18M,117.67M,-38.63,1.13
,CF Bankshares,5.25K,108.09M,50.61M,5.92,0.557
,CF Industries,2.08M,14.97B,7.67B,7.27,
,CH Robinson,1.07M,9.62B,18.44B,25.03,
,Charles Schwab,9.59M,102.85B,19.92B,18.44,0.94
,Charles&Colvard,245.72K,14.07M,27.53M,-0.65,0.905
,Chart Industries,545.68K,4.81B,1.17B,51.67,
,Charter Communications,1.04M,67.43B,54.57B,13.07,1.14
,Check Point Software,817.44K,17.03B,2.39B,19.88,0.636
,Chevron,9.06M,272.71B,202.70B,10.76,1.16
,Chimera Investment,1.88M,1.14B,307.16M,9.77,
,China Automotive,35.13K,108.06M,545.98M,3.44,2.39
,China Fund,22.94K,104.83M,2.11M,-20.43,
,China Green Agriculture,6.85K,32.11M,118.94M,-2.20,0.645
,China Jo-Jo Drugstores,242.37K,6.44M,148.81M,-0.10,-0.032
,China Natural Resources,2.70K,13.85M,20.31M,-4.01,0.47
,China Techfaith,11.48K,10,,,-37.59
,Chipotle Mexican Grill,234.72K,60.92B,9.54B,52.30,1.33
,Chubb,1.70M,92.63B,48.26B,13.24,0.616
,Churchill Downs,363.08K,9.01B,2.38B,25.18,1.07
,Ciena Corp,1.36M,6.81B,4.23B,31.06,0.913
,Cigna,1.31M,84.23B,189.86B,16.13,
,Cincinnati Financial,645.26K,16.11B,9.77B,9.58,0.65
,Cineverse,52.19K,14.02M,66.42M,-4.59,1.79
,Cintas,371.79K,56.52B,8.99B,41.05,
,Cirrus,493.87K,4.11B,1.76B,30.03,0.983
,Cisco,17.49M,196.51B,58.03B,14.53,0.964
,Citi Trends,68.26K,221.26M,755.03M,11.03,2.32
,Citigroup,17.15M,86.56B,72.55B,7.11,1.55
,Citizens,5.41K,57.57M,41.09M,11.23,0.044
,Citizens Community,8.76K,112.32M,60.85M,7.90,0.948
,Citizens&Northern,20.20K,300.45M,106.45M,10.85,0.345
,City Holding,60.20K,1.45B,287.50M,12.41,0.54
,Civista Bancshares,24.05K,242.03M,163.55M,5.32,0.85
,Clarus,320.07K,204.86M,385.37M,-2.40,0.947
,Clean Energy,1.83M,776.11M,432.06M,-8.28,2.22
,Clearfield,209.95K,405.35M,268.72M,12.35,1.42
,ClearOne,35.56K,19.38M,18.57M,0.92,0.791
,Cleveland-Cliffs,9.12M,8.47B,21.93B,25.34,2.18
,Clorox,1.73M,17.52B,7.04B,203.02,0.33
,CME Group,1.39M,78.19B,5.34B,25.86,0.459
,CMS Energy,2.60M,16.8B,7.79B,22.57,0.392
,CNB Financial,39.79K,433M,218.47M,7.86,0.815
,CNX Resources,2.48M,3.82B,1.97B,1.50,1.42
,Coca-Cola,14.83M,253.22B,45.03B,23.47,0.592
,Coca-Cola Bottling,34.29K,6.8B,6.60B,15.14,0.844
,Coca-Cola European,1.24M,28.10B,18.02B,15.13,0.685
,Coca-Cola Femsa ADR,151.96K,18.05B,242.07B,1.49,0.782
,Codexis,849.56K,141.76M,73.96M,-1.66,1.75
,Codorus Valley,14.77K,197.19M,96.61M,7.15,0.548
,Cogent,350.49K,3.13B,786.90M,2.92,0.424
,Cognex,1.01M,6.38B,,40.31,1.53
,Cognizant A,2.98M,35.69B,19.43B,17.32,1.08
,Cohen Steers,153.59K,2.78B,495.78M,21.31,1.37
,Coherent,2.10M,6.12B,370.20M,56.98,
,Coherus BioSciences,4.27M,229.41M,211.07M,-0.81,0.865
,Cohu,256.88K,1.55B,690.20M,29.94,1.57
,Colgate-Palmolive,4.32M,63.65B,19.14B,40.44,0.445
,Colliers International,104.08K,5.12B,4.32B,239.04,1.57
,Colony Bankcorp,43.70K,186.92M,111.79M,8.62,0.566
,Color Star Technology Co,295.14K,7.29M,3.54M,-0.075,2.21
,Columbia Banking,1.51M,4.59B,1.63B,11.32,0.928
,Columbia Sportswear,438.34K,4.56B,3.60B,16.35,0.957
,Columbus McKinnon,86.46K,1.01B,978.11M,19.73,1.29
,Comcast,18.31M,171.39B,120.87B,11.78,1.06
,Comerica,1.98M,5.77B,3.72B,4.94,1.27
